Time,Detached Price,Semi Detached Price,Terraced Price,Flat Price,Detached Index,Semi Detached Index,Terraced Index,Flat Index
1995/01,161449,95898,73706,64619,21.7,20.3,18,17.9
1995/02,157449,96084,73757,60359,21.2,20.4,18,16.7
1995/03,156090,94981,73571,64186,21,20.1,18,17.7
1995/04,156932,95193,73990,65099,21.1,20.2,18.1,18
1995/05,158778,96727,75063,65718,21.4,20.5,18.4,18.2
1995/06,158322,96551,74684,66735,21.3,20.5,18.3,18.4
1995/07,161896,97609,75763,65790,21.8,20.7,18.5,18.2
1995/08,160991,97064,75103,65588,21.7,20.6,18.4,18.1
1995/09,159829,96135,74632,65035,21.5,20.4,18.2,18
1995/10,160268,95894,73292,64793,21.6,20.3,17.9,17.9
1995/11,157177,95155,73136,65081,21.1,20.2,17.9,18
1995/12,158799,96433,74254,66029,21.4,20.4,18.2,18.2
1996/01,159926,96393,74754,65870,21.5,20.4,18.3,18.2
1996/02,159662,97498,75122,66992,21.5,20.7,18.4,18.5
1996/03,161107,97079,75029,66097,21.7,20.6,18.3,18.3
1996/04,160304,97381,75761,68172,21.6,20.6,18.5,18.8
1996/05,160540,98333,76984,67630,21.6,20.8,18.8,18.7
1996/06,163374,99096,76944,69564,22,21,18.8,19.2
1996/07,167042,100384,77796,69523,22.5,21.3,19,19.2
1996/08,168725,101125,78590,68901,22.7,21.4,19.2,19
1996/09,169961,101873,78910,69975,22.9,21.6,19.3,19.3
1996/10,171030,101781,78586,69598,23,21.6,19.2,19.2
1996/11,168697,102161,79649,70450,22.7,21.6,19.5,19.5
1996/12,171030,104399,80634,71374,23,22.1,19.7,19.7
1997/01,176010,105732,82195,73141,23.7,22.4,20.1,20.2
1997/02,176433,105446,82178,74410,23.7,22.3,20.1,20.6
1997/03,177667,106903,83576,74926,23.9,22.7,20.4,20.7
1997/04,180373,108927,84904,76393,24.3,23.1,20.8,21.1
1997/05,186373,112329,87397,78356,25.1,23.8,21.4,21.7
1997/06,190062,113227,88606,78377,25.6,24,21.7,21.7
1997/07,196287,117350,91655,80620,26.4,24.9,22.4,22.3
1997/08,198166,118155,91214,80570,26.7,25,22.3,22.3
1997/09,203053,120516,92998,82656,27.3,25.5,22.7,22.8
1997/10,202832,120574,92778,82234,27.3,25.6,22.7,22.7
1997/11,206280,121845,93593,83446,27.7,25.8,22.9,23.1
1997/12,206669,124400,95777,84874,27.8,26.4,23.4,23.5
1998/01,212537,124936,97066,85657,28.6,26.5,23.7,23.7
1998/02,205692,123670,95203,85674,27.7,26.2,23.3,23.7
1998/03,209210,125718,97449,87389,28.1,26.6,23.8,24.2
1998/04,214790,128936,99850,89317,28.9,27.3,24.4,24.7
