Time,City of London,Barking & Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith & Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington & Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,Inner London,Outer London,NORTH EAST,NORTH WEST,YORKS & THE HUMBER,EAST MIDLANDS,WEST MIDLANDS,EAST OF ENGLAND,LONDON,SOUTH EAST,SOUTH WEST,England
Jan-95,17,96,332,269,233,323,198,375,303,327,182,131,227,226,221,203,202,175,90,324,213,227,211,219,168,268,208,182,218,147,249,403,339,2890,4616,1983,5801,4489,3990,4199,5812,7506,8809,5050,47639
Feb-95,7,95,327,207,220,326,194,342,242,302,174,115,185,223,175,198,256,145,102,207,185,207,206,204,189,277,212,169,177,149,226,379,251,2583,4290,1986,6129,4349,4211,4633,5928,6873,8658,5113,47880
Mar-95,14,144,384,318,320,449,207,447,377,437,206,159,265,317,249,282,337,263,140,318,221,315,300,275,294,385,307,270,319,166,276,513,365,3643,5996,3052,8375,6149,5840,6262,8374,9639,12177,7157,67025
Apr-95,7,109,304,253,249,362,174,377,270,337,176,141,258,244,216,297,255,211,125,293,194,288,227,230,217,317,249,169,268,204,253,451,328,3126,4927,2406,6714,5338,4892,5218,7004,8053,10941,6359,56925
May-95,10,149,393,317,293,428,220,449,345,393,216,138,233,330,244,297,279,233,139,274,229,309,311,269,284,399,289,212,310,186,281,517,317,3480,5813,2857,7641,6200,5377,6094,7765,9293,11975,6990,64192
Jun-95,17,148,436,324,311,431,248,466,353,428,233,175,291,303,256,274,311,350,184,294,262,304,332,331,279,356,372,254,349,231,329,548,370,3830,6320,3251,9171,6915,6283,6916,8864,10150,13288,7802,72640
Jul-95,13,117,429,314,303,399,248,427,374,390,240,152,226,255,266,274,287,328,186,314,261,324,294,303,240,363,309,264,294,151,274,503,323,3493,5952,2719,7393,5813,5359,6022,7985,9445,12565,6941,64242
Aug-95,14,150,425,297,341,453,259,480,377,411,240,131,298,282,285,274,345,372,154,279,278,312,325,323,265,327,321,232,299,239,293,531,353,3674,6291,2969,7962,6375,5656,6518,8535,9965,13609,7680,69269
Sep-95,17,112,423,281,277,408,263,480,327,432,224,125,249,276,230,274,320,344,162,287,267,300,307,260,217,338,301,186,274,206,285,451,346,3392,5857,2983,8302,6364,5654,6439,8030,9249,12698,7532,67251
Oct-95,14,120,396,274,282,392,245,423,352,377,203,133,235,307,223,227,276,322,146,243,232,272,244,240,249,302,255,177,264,143,284,434,300,3142,5444,2674,7705,5756,5163,5730,7442,8586,11356,6852,61264
Nov-95,11,127,405,299,300,372,208,462,329,424,205,154,208,289,252,320,309,359,125,269,259,281,278,278,238,316,274,201,267,139,274,386,312,3099,5831,2620,8084,6038,5463,6011,7892,8930,11978,6939,63955
