,,LONDON,,,,,,,,UNITED KINGDOM,,,,,,,
,,Price ,,,,Index,,,,Price ,,,,Index,,,
,,Detached,Semi Detached,Terraced,Flat,Detached,Semi Detached,Terraced,Flat,Detached,Semi Detached,Terraced,Flat,Detached,Semi Detached,Terraced,Flat
1995,Jan,"161,449","95,898","73,706","64,619",21.7,20.3,18.0,17.9,-,-,-,-,-,-,-,-
,Feb,"157,449","96,084","73,757","60,359",21.2,20.4,18.0,16.7,-,-,-,-,-,-,-,-
,Mar,"156,090","94,981","73,571","64,186",21.0,20.1,18.0,17.7,-,-,-,-,-,-,-,-
,Apr,"156,932","95,193","73,990","65,099",21.1,20.2,18.1,18.0,-,-,-,-,-,-,-,-
,May,"158,778","96,727","75,063","65,718",21.4,20.5,18.4,18.2,-,-,-,-,-,-,-,-
,Jun,"158,322","96,551","74,684","66,735",21.3,20.5,18.3,18.4,-,-,-,-,-,-,-,-
,Jul,"161,896","97,609","75,763","65,790",21.8,20.7,18.5,18.2,-,-,-,-,-,-,-,-
,Aug,"160,991","97,064","75,103","65,588",21.7,20.6,18.4,18.1,-,-,-,-,-,-,-,-
,Sep,"159,829","96,135","74,632","65,035",21.5,20.4,18.2,18.0,-,-,-,-,-,-,-,-
,Oct,"160,268","95,894","73,292","64,793",21.6,20.3,17.9,17.9,-,-,-,-,-,-,-,-
,Nov,"157,177","95,155","73,136","65,081",21.1,20.2,17.9,18.0,-,-,-,-,-,-,-,-
,Dec,"158,799","96,433","74,254","66,029",21.4,20.4,18.2,18.2,-,-,-,-,-,-,-,-
1996,Jan,"159,926","96,393","74,754","65,870",21.5,20.4,18.3,18.2,-,-,-,-,-,-,-,-
,Feb,"159,662","97,498","75,122","66,992",21.5,20.7,18.4,18.5,-,-,-,-,-,-,-,-
,Mar,"161,107","97,079","75,029","66,097",21.7,20.6,18.3,18.3,-,-,-,-,-,-,-,-
,Apr,"160,304","97,381","75,761","68,172",21.6,20.6,18.5,18.8,-,-,-,-,-,-,-,-
,May,"160,540","98,333","76,984","67,630",21.6,20.8,18.8,18.7,-,-,-,-,-,-,-,-
,Jun,"163,374","99,096","76,944","69,564",22.0,21.0,18.8,19.2,-,-,-,-,-,-,-,-
,Jul,"167,042","100,384","77,796","69,523",22.5,21.3,19.0,19.2,-,-,-,-,-,-,-,-
,Aug,"168,725","101,125","78,590","68,901",22.7,21.4,19.2,19.0,-,-,-,-,-,-,-,-
,Sep,"169,961","101,873","78,910","69,975",22.9,21.6,19.3,19.3,-,-,-,-,-,-,-,-
,Oct,"171,030","101,781","78,586","69,598",23.0,21.6,19.2,19.2,-,-,-,-,-,-,-,-
,Nov,"168,697","102,161","79,649","70,450",22.7,21.6,19.5,19.5,-,-,-,-,-,-,-,-
,Dec,"171,030","104,399","80,634","71,374",23.0,22.1,19.7,19.7,-,-,-,-,-,-,-,-
1997,Jan,"176,010","105,732","82,195","73,141",23.7,22.4,20.1,20.2,-,-,-,-,-,-,-,-
